Bird,Date,Temp set,Pant,Num.seeds.eaten,Seed.1.duration,Seed.2.duration,Seed.3.duration
T60,9/21/15,22,n,,0:00:01,,
T60,9/21/15,22,n,,,,
T60,9/21/15,22,n,3,0:00:01,0:00:01,
T60,9/21/15,22,n,,0:00:01,0:00:01,
T60,9/21/15,22,n,3,0:00:01,0:00:02,0:00:02
T60,9/21/15,22,n,3,0:00:01,0:00:02,0:00:01
T60,9/21/15,22,n,3,0:00:01,0:00:01,0:00:01
T60,9/21/15,22,n,3,0:00:01,0:00:01,0:00:01
T60,9/21/15,22,n,3,0:00:01,0:00:01,0:00:01
T60,9/25/15,40,n,3,0:00:01,0:00:01,0:00:01
T60,9/25/15,40,n,3,0:00:01,0:00:02,0:00:02
T60,9/25/15,40,n,3,0:00:01,0:00:01,0:00:02
T60,9/25/15,40,n,3,0:00:01,0:00:01,0:00:01
T60,9/25/15,40,n,3,0:00:01,0:00:01,0:00:01
T60,9/25/15,40,n,0,,,
T60,9/25/15,40,n,3,0:00:01,0:00:01,0:00:01
T60,9/25/15,40,n,3,0:00:01,0:00:01,0:00:01
T60,9/25/15,40,n,3,0:00:01,0:00:01,0:00:02
T60,10/8/15,43,y,2,0:00:02,0:00:02,
T60,10/8/15,43,y,3,0:00:01,0:00:01,0:00:01
T60,10/8/15,43,y,3,0:00:01,0:00:01,0:00:01
T60,10/8/15,43,y,3,0:00:01,0:00:02,0:00:01
T60,10/8/15,43,y,3,0:00:01,0:00:01,0:00:01
T60,10/8/15,43,y,3,0:00:01,0:00:01,0:00:02
T60,10/8/15,43,y,,0:00:01,0:00:01,
T60,10/8/15,43,y,3,0:00:01,0:00:01,0:00:01
T60,10/8/15,43,y,,,,
T60,10/12/15,22,n,,,,
T60,10/12/15,22,n,,,,
T60,10/12/15,22,n,3,0:00:01,0:00:01,0:00:01
T60,10/12/15,22,n,3,0:00:01,0:00:01,0:00:01
T60,10/12/15,22,n,3,0:00:01,0:00:01,0:00:01
T60,10/12/15,22,n,3,0:00:01,0:00:01,0:00:01
T60,10/12/15,22,n,3,0:00:01,0:00:01,0:00:01
T60,10/12/15,22,n,3,0:00:01,0:00:01,0:00:01
T60,10/12/15,22,n,3,0:00:01,0:00:01,0:00:01
T55,9/22/15,40,n,3,0:00:02,0:00:02,0:00:02
T55,9/22/15,40,n,3,0:00:02,0:00:01,0:00:02
T55,9/22/15,40,n,3,0:00:01,0:00:01,0:00:01
T55,9/22/15,40,n,3,0:00:01,0:00:01,0:00:02
T55,9/22/15,40,n,3,0:00:01,0:00:02,0:00:02
T55,9/22/15,40,n,3,0:00:02,0:00:01,0:00:01
T55,9/22/15,40,n,3,0:00:01,0:00:01,0:00:01
T55,9/22/15,40,n,3,0:00:01,0:00:01,0:00:01
T55,9/22/15,40,n,3,0:00:01,0:00:01,0:00:01
T55,9/26/15,22,n,3,0:00:02,0:00:02,0:00:01
T55,9/26/15,22,n,3,0:00:01,0:00:01,0:00:01
T55,9/26/15,22,n,3,0:00:03,0:00:01,0:00:02
T55,9/26/15,22,n,3,0:00:01,0:00:01,0:00:01
T55,9/26/15,22,n,3,0:00:01,0:00:01,0:00:01
T55,9/26/15,22,n,3,0:00:02,0:00:01,0:00:01
T55,9/26/15,22,n,3,0:00:02,0:00:01,0:00:02
T55,9/26/15,22,n,3,0:00:02,0:00:01,0:00:01
T55,9/26/15,22,n,3,0:00:01,0:00:01,0:00:01
T55,10/9/15,22,n,1,0:00:01,,
T55,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T55,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T55,10/9/15,22,n,0,,,
T55,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T55,10/9/15,22,n,3,0:00:04,0:00:02,0:00:01
T55,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T55,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T55,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T55,10/13/15,43,y,,,,
T55,10/13/15,43,y,,,,
T55,10/13/15,43,y,3,0:00:02,0:00:02,0:00:02
T55,10/13/15,43,y,0,,,
T55,10/13/15,43,y,3,0:00:03,0:00:01,0:00:03
T55,10/13/15,43,y,3,0:00:01,0:00:01,0:00:01
T55,10/13/15,43,y,,,,
T55,10/13/15,43,y,2,0:00:02,0:00:02,
T55,10/13/15,43,y,3,0:00:01,0:00:02,0:00:02
T55,10/13/15,43,y,3,0:00:01,0:00:02,0:00:01
T55,10/13/15,43,y,3,0:00:01,0:00:02,0:00:01
T56,9/22/15,40,y,3,0:00:04,0:00:04,0:00:02
T56,9/22/15,40,y,3,0:00:03,0:00:02,0:00:03
T56,9/22/15,40,y,2,0:00:05,0:00:03,
T56,9/22/15,40,y,3,0:00:03,0:00:02,0:00:03
T56,9/22/15,40,y,2,0:00:03,0:00:04,
T56,9/22/15,40,y,2,0:00:03,0:00:03,
T56,9/22/15,40,y,0,,,
T56,9/26/15,22,n,3,0:00:01,0:00:01,0:00:01
T56,9/26/15,22,n,3,0:00:01,0:00:02,0:00:03
T56,9/26/15,22,n,3,0:00:02,0:00:01,0:00:01
T56,9/26/15,22,n,3,0:00:01,0:00:01,0:00:01
T56,9/26/15,22,n,2,0:00:01,0:00:01,
T56,9/26/15,22,n,3,0:00:01,0:00:02,0:00:01
T56,9/26/15,22,n,3,0:00:01,0:00:01,0:00:01
T56,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T56,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T56,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T56,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T56,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T56,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T56,10/9/15,22,n,3,0:00:02,0:00:01,0:00:01
T56,10/9/15,22,n,3,0:00:01,0:00:02,0:00:01
T56,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T56,10/13/15,43,y,3,0:00:04,0:00:03,0:00:03
T56,10/13/15,43,y,3,0:00:01,0:00:03,0:00:03
T56,10/13/15,43,y,3,0:00:01,0:00:02,0:00:03
T56,10/13/15,43,y,3,0:00:02,0:00:03,0:00:02
T56,10/13/15,43,y,3,0:00:02,0:00:01,0:00:02
T56,10/13/15,43,y,3,0:00:01,0:00:03,0:00:03
T56,10/13/15,43,y,2,0:00:02,0:00:02,
T56,10/13/15,43,y,3,0:00:01,0:00:02,0:00:03
T56,10/13/15,43,y,3,0:00:02,0:00:04,0:00:02
T57,9/22/15,40,y,3,0:00:01,0:00:03,0:00:03
T57,9/22/15,40,y,3,0:00:03,0:00:01,0:00:04
T57,9/22/15,40,y,2,0:00:01,0:00:03,
T57,9/22/15,40,y,3,0:00:01,0:00:02,0:00:02
T57,9/22/15,40,y,1,0:00:02,,
T57,9/22/15,40,y,3,0:00:01,0:00:02,0:00:02
T57,9/22/15,40,y,3,0:00:01,0:00:01,0:00:02
T57,9/22/15,40,y,3,0:00:02,0:00:01,0:00:03
T57,9/22/15,40,y,3,0:00:02,0:00:02,0:00:03
T57,9/26/15,22,n,3,0:00:01,0:00:01,0:00:01
T57,9/26/15,22,n,3,0:00:01,0:00:01,0:00:01
T57,9/26/15,22,n,3,0:00:01,0:00:01,0:00:01
T57,9/26/15,22,n,3,0:00:01,0:00:01,0:00:02
T57,9/26/15,22,n,3,0:00:01,0:00:01,0:00:01
T57,9/26/15,22,n,3,0:00:01,0:00:01,0:00:01
T57,9/26/15,22,n,3,0:00:01,0:00:01,0:00:01
T57,9/26/15,22,n,3,0:00:01,0:00:01,0:00:01
T57,9/26/15,22,n,2,0:00:01,0:00:01,
T57,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T57,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T57,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T57,10/9/15,22,n,3,0:00:02,0:00:01,0:00:01
T57,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T57,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T57,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T57,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T57,10/9/15,22,n,3,0:00:01,0:00:01,0:00:01
T57,10/13/15,43,y,3,0:00:03,0:00:01,0:00:05
T57,10/13/15,43,y,3,0:00:01,0:00:01,0:00:02
T57,10/13/15,43,y,3,0:00:01,0:00:02,0:00:03
T57,10/13/15,43,y,2,0:00:02,0:00:02,
T57,10/13/15,43,y,2,0:00:01,0:00:02,
T57,10/13/15,43,y,3,0:00:01,0:00:01,0:00:02
T57,10/13/15,43,y,3,0:00:03,0:00:01,0:00:03
T57,10/13/15,43,y,3,0:00:02,0:00:01,0:00:03
T57,10/13/15,43,y,3,0:00:02,0:00:02,0:00:02
T49,9/25/15,40,y,3,0:00:01,0:00:01,0:00:02
T49,10/12/15,40,y,0,,,
T49,10/12/15,40,y,3,0:00:01,0:00:03,0:00:02
T49,10/12/15,40,y,3,0:00:01,0:00:02,0:00:02
T49,10/12/15,40,y,3,0:00:01,0:00:01,0:00:01
T49,10/12/15,40,y,3,0:00:01,0:00:01,0:00:01
T49,10/12/15,40,y,0,,,
T49,10/12/15,40,y,0,,,
T49,10/12/15,40,y,3,0:00:01,0:00:01,0:00:02
T49,10/8/15,43,y,0,0:00:02,0:00:02,0:00:02
T49,10/8/15,43,y,0,,,
T49,10/8/15,43,y,2,0:00:03,0:00:04,0:00:02
T49,10/8/15,43,y,1,0:00:02,,
T49,10/8/15,43,y,,0:00:02,,
T49,10/8/15,43,y,3,0:00:03,0:00:02,0:00:02
T49,10/8/15,43,y,3,0:00:02,0:00:02,0:00:01
T49,10/8/15,43,y,2,0:00:02,0:00:02,
T49,10/8/15,43,y,3,0:00:01,0:00:02,0:00:02
T49,10/12/15,22,n,3,0:00:01,0:00:01,0:00:01
T49,10/12/15,22,n,3,0:00:01,0:00:01,0:00:01
T49,10/12/15,22,n,3,0:00:01,0:00:01,0:00:01
T49,10/12/15,22,n,3,0:00:01,0:00:01,0:00:01
T49,10/12/15,22,n,3,0:00:01,0:00:01,0:00:01
T49,10/12/15,22,n,3,0:00:01,0:00:01,0:00:01
T49,10/12/15,22,n,3,0:00:01,0:00:01,0:00:01
T49,10/12/15,22,n,3,0:00:01,0:00:01,0:00:01
T49,10/12/15,22,n,3,0:00:01,0:00:01,0:00:01
T46,9/21/15,22,n,0,0:00:02,0:00:01,0:00:02
T46,9/21/15,22,n,3,0:00:02,0:00:01,0:00:02
T46,9/21/15,22,n,3,0:00:01,0:00:01,0:00:01
T46,9/21/15,22,n,3,0:00:01,0:00:02,0:00:02
T46,9/21/15,22,n,2,0:00:02,0:00:01,0:00:01
T46,9/21/15,22,n,3,0:00:01,0:00:02,0:00:01
T46,9/21/15,22,n,3,0:00:01,0:00:02,0:00:01
T46,9/21/15,22,n,3,0:00:01,0:00:01,0:00:01
T46,9/21/15,22,n,3,0:00:01,0:00:02,0:00:01
T46,9/25/15,40,y,2,0:00:02,0:00:02,
T46,9/25/15,40,y,3,0:00:03,0:00:02,0:00:01
T46,9/25/15,40,y,3,0:00:02,0:00:01,0:00:02
T46,9/25/15,40,y,3,0:00:02,0:00:01,0:00:02
T46,9/25/15,40,y,3,0:00:01,0:00:02,0:00:02
T46,9/25/15,40,y,3,0:00:01,0:00:01,0:00:01
T46,9/25/15,40,y,3,0:00:02,0:00:01,0:00:02
T46,9/25/15,40,y,3,0:00:02,0:00:01,0:00:02
T46,9/25/15,40,y,3,0:00:02,0:00:01,0:00:01
T46,10/12/15,22,n,3,0:00:01,0:00:01,0:00:01
T46,10/12/15,22,n,3,0:00:01,0:00:01,0:00:02
T46,10/12/15,22,n,3,0:00:01,0:00:01,0:00:01
T46,10/12/15,22,n,2,0:00:01,0:00:01,
T46,10/12/15,22,n,3,0:00:01,0:00:01,0:00:01
T46,10/12/15,22,n,3,0:00:02,0:00:01,0:00:01
T46,10/12/15,22,n,2,0:00:01,0:00:01,0:00:01
T46,10/12/15,22,n,3,0:00:01,0:00:01,0:00:01
T46,10/12/15,22,n,3,0:00:02,0:00:01,0:00:01