male,chamber,date,motif_count,motif_rate,counter,temp_target,temp_mean,temp_median,humidity_mean,test_order,mass,bill_length,bill_depth,bill_width,date_morph_data_collected,time_spent_panting_30-15_before_female,time_spent_panting_15-0_before_female,time_spent_panting_0-15_after_female,time_spent_panting_15-30_after_female
T247,2,06/06/22,185,6.17,KIM,40,39.4045254,40.5,23.87969095,1,16.5,8.5,7.3,6.4,06/23/22,,,,
T247,2,06/08/22,120,4,KIM,42,40.9321192,42.5,25.97406181,2,,,,,,,,,
T247,2,06/10/22,117,3.9,KIM,35,34.5518764,35.5,28.36203091,3,,,,,,,,,
T247,2,06/12/22,58,1.93,KIM,44,42.6594923,44,21.36699779,4,,,,,,,,,
T247,2,06/14/22,112,3.73,KIM,27,31.9045254,32,41.81898455,5,,,,,,,,,
T247,2,06/16/22,120,4,KIM,27,30.9961369,31,36.87748344,6,,,,,,,,,
T236,4,06/06/22,198,6.6,KIM,27,26.1539735,26,41.71081678,1,16.5,8.7,7.8,6.6,06/23/22,,,,
T236,4,06/08/22,62,2.07,KIM,42,39.9845475,40.5,26.37251656,2,,,,,,,,,
T236,4,06/10/22,48,1.6,KIM,44,41.2759382,42.5,22.04801325,3,,,,,,,,,
T236,4,06/12/22,201,6.7,KIM,35,33.4111479,33.5,30.92660044,4,,,,,,,,,
T236,4,06/14/22,225,7.5,KIM,40,38.2891832,38.5,32.61699779,5,,,,,,,,,
T230,6,06/06/22,9,0.3,KIM,40,39.2935982,40.5,24.34492274,1,18.5,8.2,7.4,6.5,06/23/22,,,,
T230,6,06/08/22,0,0,KIM,35,33.4254967,34,35.40286976,2,,,,,,,,,
T230,6,06/10/22,14,0.47,KIM,42,41.3907285,42.5,22.30905077,3,,,,,,,,,
T230,6,06/12/22,6,0.2,KIM,27,30.9966887,31,35.25662252,4,,,,,,,,,
T230,6,06/14/22,0,0,KIM,44,42.6244469,43.5,28.18086283,5,,,,,,,,,
T231,1,06/24/22,59,1.97,KIM,35,34.5242826,35,25.61865342,1,18.5,9.3,8,7.1,07/11/22,,,,
T231,1,06/26/22,46,1.53,KIM,44,43.0728477,44,19.23289183,2,,,,,,,,,
T231,1,06/28/22,135,4.5,KIM,40,38.9359823,39.5,21.07671082,3,,,,,,,,,
T231,1,06/30/22,176,5.87,KIM,42,41.5932671,42,19.00827815,4,,,,,,,,,
T231,1,07/02/22,208,6.93,KIM,27,31.0380795,31,34.38631347,5,,,,,,,,,
T235,3,06/24/22,77,2.57,KIM,40,38.8636865,39.5,22.88134658,1,17,8.2,7.9,6.6,07/11/22,,,,
T235,3,06/26/22,425,14.17,KIM,27,30.7291667,31,36.2308114,2,,,,,,,,,
T235,3,06/28/22,101,3.37,KIM,44,42.5469095,44,20.26655629,3,,,,,,,,,
T235,3,06/30/22,223,7.43,KIM,35,33.8664459,34,29.19922737,4,,,,,,,,,
T235,3,07/02/22,384,12.8,KIM,42,39.9740044,41,24.95022124,5,,,,,,,,,
T229,5,06/24/22,105,3.5,KIM,40,39.8807947,41,24.37030905,1,19,8.8,7.5,6.8,07/11/22,,,,
T229,5,06/26/22,133,4.43,KIM,35,36.082781,37,30.74337748,2,,,,,,,,,
T229,5,06/28/22,66,2.2,KIM,44,43.239514,45,21.88300221,3,,,,,,,,,
T229,5,06/30/22,101,3.37,KIM,42,41.7671082,43.5,23.3200883,4,,,,,,,,,
T229,5,07/02/22,203,6.77,KIM,27,30.6452328,31,38.36640798,5,,,,,,,,,
T234,2,06/23/22,36,1.2,KIM,44,42.5259382,44,22.06456954,1,19,7.8,7.2,5.9,07/11/22,,,,
T234,2,06/25/22,76,2.53,KIM,35,34.7880795,35,30.0700883,2,,,,,,,,,
T234,2,06/27/22,61,2.03,KIM,42,41.7682119,43,22.4486755,3,,,,,,,,,
T234,2,06/29/22,45,1.5,KIM,27,29.7826087,29.5,35.25027871,4,,,,,,,,,
T234,2,07/01/22,76,2.53,KIM,40,39.3620309,40.5,24.96799117,5,,,,,,,,,
T244,4,06/23/22,68,2.27,KIM,44,41.0702434,42,22.43307522,1,18.5,8.7,7.7,7,07/11/22,,,,
T244,4,06/25/22,126,4.2,KIM,40,38.0557395,38.5,26.29359823,2,,,,,,,,,
T244,4,06/27/22,98,3.27,KIM,35,33.6307947,34,30.51766004,3,,,,,,,,,
T244,4,06/29/22,125,4.17,KIM,27,29.7254464,30,35.53348214,4,,,,,,,,,
T244,4,07/01/22,81,2.7,KIM,42,39.6743929,40.5,24.13852097,5,,,,,,,,,
T237,6,06/23/22,117,3.9,KIM,35,33.7372506,34,31.1075388,1,19.5,8.4,7.5,6.4,07/11/22,,,,
T237,6,06/25/22,86,2.87,KIM,42,40.4761905,41,24.94850498,2,,,,,,,,,
T237,6,06/27/22,179,5.97,KIM,27,29.4619205,29.5,38.01821192,3,,,,,,,,,
T237,6,06/29/22,92,3.07,KIM,44,42.3411633,43,21.86577181,4,,,,,,,,,
T237,6,07/01/22,151,5.03,KIM,40,38.2262693,38.5,26.44370861,5,,,,,,,,,
T243,2,07/12/22,138,4.6,KIM,40,39.3647903,40,24.3714128,1,20,8,7.2,6.9,07/20/22,,,,
T243,2,07/14/22,119,3.97,KIM,44,42.4873068,44,21.73565121,2,,,,,,,,,
T243,2,07/16/22,207,6.9,KIM,42,41.25883,42.5,22.35761589,3,,,,,,,,,
T243,2,07/18/22,90,3,KIM,35,34.0121413,34.5,29.93708609,4,,,,,,,,,
T243,2,07/20/22,59,1.97,KIM,27,28.7450331,29,38.92384106,5,,,,,,,,,
T259,4,07/12/22,7,0.23,KIM,35,33.2836645,33.5,30.63300221,1,16,8.7,7.3,6.2,07/20/22,,,,
T259,4,07/14/22,0,0,KIM,40,38.0077263,38.5,25.25883002,2,,,,,,,,,
T259,4,07/16/22,0,0,KIM,42,40.2378587,41,22.95584989,3,,,,,,,,,
T259,4,07/18/22,0,0,KIM,44,41.6434879,42.5,22.05684327,4,,,,,,,,,
T259,4,07/20/22,18,0.6,KIM,27,29.0198675,29,38.24172185,5,,,,,,,,,
T258,6,07/12/22,74,2.47,KIM,35,33.7229581,34,31.09988962,1,15,8.5,7.6,6.5,07/20/22,,,,
T258,6,07/14/22,45,1.5,KIM,40,39.1363135,39.5,25.17715232,2,,,,,,,,,
T258,6,07/16/22,20,0.67,KIM,27,29.6451435,29.5,36.96743929,3,,,,,,,,,
T258,6,07/18/22,32,1.07,KIM,42,40.6830752,41.5,23.80088496,4,,,,,,,,,
T258,6,07/22/22,0,0,KIM,44,44.833333,45,21.0378,5,,,,,,,,,
T257,1,07/11/22,176,5.87,KIM,27,31.2292359,31.5,30.86378738,1,15,8.6,7.5,6.3,07/20/22,,,,
T257,1,07/13/22,169,5.63,KIM,35,34.1230684,34,27.02041943,2,,,,,,,,,
T257,1,07/15/22,317,10.57,KIM,42,41.4839956,42,19.44039735,3,,,,,,,,,
T257,1,07/17/22,245,8.17,KIM,44,42.8068433,44,18.46357616,4,,,,,,,,,
T257,1,07/19/22,253,8.43,KIM,40,38.8427152,39.5,25.66335541,5,,,,,,,,,
T260,3,07/11/22,43,1.43,KIM,40,37.6434928,38.5,25.11067853,1,15.5,8.7,7.6,6.8,07/20/22,,,,
T260,3,07/13/22,74,2.47,KIM,35,33.8051876,34,29.94426049,2,,,,,,,,,
T260,3,07/15/22,65,2.17,KIM,42,40.683223,42,22.82450331,3,,,,,,,,,
T260,3,07/17/22,76,2.53,KIM,27,31.3636865,31.5,33.07119205,4,,,,,,,,,
T260,3,07/19/22,198,6.6,KIM,44,40.9828918,42.5,23.11203091,5,,,,,,,,,
