Bird,Color,Date,Exam order,Exam temp,Finish?,Pant during trial,Error ratio,Cage door closed,Touch tray,cor.col.1,cor.col.2,cor.col.3,cor.col.4,cor.col.5,cor.col.6,cor.col.7,cor.col.8,cor.col.9,inc.col.1,inc.col.2,inc.col.3,inc.col.4,inc.col.5,inc.col.6,inc.col.7,inc.col.8,inc.col.9
T46,y,9/21/15,2,22,Yes,n,0.222222222,0:00:31,0:00:41,0:00:43,0:00:45,0:01:04,0:01:09,0:01:17,0:01:46,0:01:52,0:02:10,0:02:17,0:00:52,0:01:01,0:02:08,,,,,,
T46,y,9/25/15,2,40,Yes,y,0.666666667,0:00:29,0:00:38,0:00:43,0:00:51,0:00:59,0:01:08,0:01:28,0:01:55,0:02:39,0:03:09,0:03:50,0:00:40,0:01:26,0:01:51,0:02:10,,,,,
T46,y,10/8/15,2,43,Yes,y,0,,0:00:00,,,,,,,,,0:01:45,,,,,,,,,
T46,y,10/12/15,2,22,Yes,n,0,0:00:34,0:00:34,0:00:34,0:00:45,0:00:56,0:01:08,0:01:12,0:01:19,0:01:29,0:01:39,0:01:58,,,,,,,,,
T49,b,9/21/15,3,22,No,n,0.833333333,0:48,0:02:44,0:02:48,0:03:56,,,,,,,,0:03:00,0:03:30,0:03:54,0:04:56,,,,,
T49,b,9/25/15,3,40,Yes,y,0.888888889,0:00:50,0:00:58,0:01:00,0:01:17,0:01:37,0:01:45,0:01:51,0:02:12,0:02:25,0:02:40,0:03:25,0:01:09,0:01:22,0:01:26,0:01:43,0:02:10,0:02:17,0:02:21,0:03:23,
T49,b,10/8/15,3,43,Yes,y,0.333333333,0:00:51,0:00:51,0:01:06,0:01:07,0:01:16,0:01:30,0:01:44,0:01:52,0:02:00,0:02:11,0:02:34,0:00:52,0:01:25,0:01:58,0:01:56,0:02:07,,,,
T49,b,10/12/15,3,22,Yes,n,0.777777778,0:00:42,0:00:42,0:00:45,0:00:55,0:00:56,0:01:04,0:01:08,0:01:23,0:01:35,0:01:40,0:02:08,0:00:42,0:00:52,0:01:14,0:01:18,0:01:22,0:01:48,0:01:50,0:02:01,0:02:01
T55,y,9/22/15,1,40,Yes,n,0.222222222,0:00:00,0:00:07,0:00:08,0:00:27,0:00:48,0:01:10,0:01:21,0:01:28,0:01:40,0:01:47,0:01:56,0:00:37,0:01:05,0:03:35,0:03:48,0:04:17,0:04:45,0:05:05,,
T55,y,9/26/15,1,22,Yes,n,0.555555556,0:00:32,0:00:43,0:00:45,0:00:47,0:01:15,0:01:31,0:01:44,0:01:57,0:02:07,0:02:37,0:02:45,0:01:11,0:01:11,0:02:16,0:02:19,0:02:21,0:03:39,0:03:58,,
T55,y,10/9/15,1,22,Yes,n,0.111111111,0:00:21,0:00:30,0:00:32,0:00:38,0:00:47,0:00:54,0:00:57,0:01:04,0:01:13,0:01:22,0:01:51,0:00:31,0:02:27,0:02:45,0:03:21,0:03:46,0:03:55,0:04:09,0:04:11,0:04:46
T55,y,10/13/15,1,43,Yes,y,0.222222222,0:00:22,0:00:26,0:00:30,0:00:47,0:00:55,0:01:09,0:01:13,0:01:17,0:01:48,0:01:54,0:05:22,0:02:38,0:05:10,0:06:01,0:06:16,,,,,
T56,b,9/22/15,3,40,No,y,0,0:00:35,0:04:55,0:05:05,0:05:31,0:06:03,0:06:31,0:06:54,0:07:21,0:09:49,,,,,,,,,,,
T56,b,9/26/15,3,22,No,n,0,0:00:55,0:01:15,0:01:30,0:02:03,0:02:30,0:02:45,0:02:56,0:03:26,0:05:34,,,,,,,,,,,
T56,b,10/9/15,3,22,Yes,n,0.222222222,0:00:41,0:00:50,0:01:05,0:01:10,0:02:08,0:02:26,0:02:36,0:03:09,0:03:54,0:04:13,0:04:50,0:00:50,0:02:17,,,,,,,
T56,b,10/13/15,3,43,Yes,y,0,0:00:37,0:00:51,0:01:22,0:03:01,0:03:20,0:04:07,0:04:27,0:04:35,0:05:03,0:05:53,0:09:18,,,,,,,,,
T57,y,9/22/15,2,40,Yes,y,0.222222222,0:00:25,0:00:34,0:00:39,0:00:46,0:00:55,0:01:17,0:01:24,0:01:39,0:02:07,0:02:22,0:02:44,0:00:36,0:02:40,0:05:17,,,,,,
T57,y,9/26/15,2,22,Yes,n,0,0:00:35,0:00:40,0:00:42,0:00:50,0:00:58,0:01:08,0:01:21,0:01:44,0:01:50,0:01:58,0:02:04,0:03:18,0:03:39,0:03:45,0:03:47,0:04:13,0:04:15,0:04:24,0:04:26,0:05:21
T57,y,10/9/15,2,22,Yes,n,0.222222222,0:00:32,0:00:35,0:00:36,0:00:41,0:00:48,0:01:00,0:01:09,0:01:18,0:01:24,0:01:29,0:01:37,0:00:45,0:01:17,0:02:09,0:02:36,0:02:41,0:02:47,0:03:05,0:03:10,0:04:32
T57,y,10/13/15,2,43,Yes,y,0.222222222,0:00:29,0:00:32,0:00:34,0:00:50,0:01:04,0:01:12,0:01:19,0:01:25,0:02:00,0:06:01,0:06:13,0:05:22,0:05:57,0:06:28,,,,,,
T60,b,9/21/15,1,22,Yes,n,0,0:00:27,0:01:23,0:01:25,0:01:39,0:02:02,0:02:17,0:02:37,0:02:48,0:03:23,0:04:05,0:05:34,,,,,,,,,
T60,b,9/25/15,1,40,Yes,n,0,0:00:30,0:00:37,0:00:39,0:00:43,0:00:55,0:01:03,0:01:13,0:01:19,0:01:21,0:01:26,0:01:45,0:02:17,0:02:39,0:02:48,0:03:08,0:06:03,0:06:14,,,
T60,b,10/8/15,1,43,No,y,0,0:00:42,0:00:47,0:00:48,0:00:54,0:00:58,0:01:12,0:01:20,0:01:40,0:02:10,0:02:51,,0:03:25,,,,,,,,
T60,b,10/12/15,1,22,Yes,n,0,0:00:33,0:00:38,0:00:41,0:00:56,0:01:07,0:01:13,0:01:23,0:01:30,0:01:39,0:01:59,0:02:17,0:02:26,0:03:00,0:03:02,0:03:04,0:03:10,0:03:12,0:03:28,0:03:40,0:04:34